,BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G2813
1751",,"01.03.2016
ID: 6273",,"ŠORIĆ, Kristina",,"Matematika 1, udžbenik sa zbirkom zadataka za 1. r Zagreb : Školska knjiga, 2008",,,,,Dar,,6.64,,,DA,,51 ŠOR Z,,Otpisano 23.12.2019.,
"G2814
1752",,"01.03.2016
ID: 6273",,"ŠORIĆ, Kristina",,"Matematika 1, udžbenik sa zbirkom zadataka za 1. r Zagreb : Školska knjiga, 2008",,,,,Dar,,6.64,,,DA,,51 ŠOR Z,,Otpisano 23.12.2019.,
"G2815
1753",,"01.03.2016
ID: 6273",,"ŠORIĆ, Kristina",,"Matematika 1, udžbenik sa zbirkom zadataka za 1. r Zagreb : Školska knjiga, 2008",,,,,Dar,,6.64,,,DA,,51 ŠOR Z,,,
"G2816
1754",,"01.03.2016
ID: 6275",,OSNOVE ekonomije,,"Osnove ekonomije 2 : udžbenik za 2. razred ekonoms Zagreb : Mate, 2014",,,,,Dar,,9.29,,,DA,,330 OSNO-2,,,
"G2817
1755",,"01.03.2016
ID: 6276",,"MELUZIN, Hubert",,"Vježbe i zadaci iz osnova elektrotehnike / Hubert Zagreb : Tehnička knjiga, 1967-1969",,,,,Dar,,3.98,,,DA,,621.3 MEL V -2,,,
"G2818
1756",,"01.03.2016
ID: 6278",,"BUERGENTHAL, Thomas",,"Međunarodna ljudska prava u sažetom obliku / Thoma Rijeka : Pravni fakultet sveučilišta u Rijeci, 2011",,,,,Dar,,9.29,,,DA,,341 BUERG međ,,,
"G2819
1757",,"01.03.2016
ID: 6280",,NIKOLA Tesla,,"Nikola Tesla - i bi svjetlo! : Smiljan, 10. 7. 185 Zagreb : Zoro ; Sarajevo : Naklada Zoro, 2006",,,,,Vlastita kupnja,,39.82,,,DA,,92 TES N 2.izd.,,,
"G2820
1758",,"02.03.2016
ID: 6283",,VODIČ kroz zanimanja,,"Vodič kroz zanimanja / [urednik Branimir Šverko ; Zagreb : Razbor, 1998",,,,,Vlastita kupnja,,15.93,,,DA,,331 VOD,,,
"G2881
1759",,"02.03.2016
ID: 5948",,"SOARS, Liz",,"New Headway : Pre-Intermediate Teacher's Book / Jo London : Oxford, 2007.",,,,,Dar,,22.56,,,DA,,811.111(075),,Otpisano 04.12.2023.,
"G2882
1760",,"02.03.2016
ID: 5948",,"SOARS, Liz",,"New Headway : Pre-Intermediate Teacher's Book / Jo London : Oxford, 2007.",,,,,Dar,,22.56,,,DA,,811.111(075),,Otpisano 04.12.2023.,
"G2883
1761",,"02.03.2016
ID: 5948",,"SOARS, Liz",,"New Headway : Pre-Intermediate Teacher's Book / Jo London : Oxford, 2007.",,,,,Dar,,22.56,,,DA,,811.111(075),,Otpisano 04.12.2023.,
"G2884
1762",,"02.03.2016
ID: 5948",,"SOARS, Liz",,"New Headway : Pre-Intermediate Teacher's Book / Jo London : Oxford, 2007.",,,,,Dar,,22.56,,,DA,,811.111(075),,Otpisano 04.12.2023.,
"G2885
1763",,"02.03.2016
ID: 6284",,"Walker, Robin",,"Tourism 2 : teacher's book / Robin Walker and Keit Oxford : Oxford University Press, 2012",,,,,Dar,,19.91,,,DA,,811.111 WAL t,,,
"G2886
1764",,"03.03.2016
ID: 6286",,"RIBARIĆ, Slobodan",,"Arhitektura računala pete generacije / Slobodan Ri Zagreb : Tehnička knjiga, 1986",,,,,Dar,,3.98,,,DA,,004.322 RIBRI arh,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G2887
1765",,"03.03.2016
ID: 6287",,"BIRIN, Lidija",,"Osnove turizma : udžbenik za 2. razred ekonomske š Zagreb : Mate, 2014",,,,,Dar,,6.64,,,DA,,338.48 BIR O,,,
"G2888
1766",,"03.03.2016
ID: 6288",,"JALŠENJAK, Borna",,"Društveno odgovorno poslovanje : udžbenik za 2. ra Zagreb : Mate, 2014",,,,,Dar,,6.64,,,DA,,339 JAL D,,,
"G2889
1767",,"03.03.2016
ID: 6289",,"POŽAR, Hrvoje",,"Izvori energije / Hrvoje Požar. - Zagreb : Liber, 1980",,,,,Vlastita kupnja,,6.64,,,DA,,620 POŽ I,,,
"G2890
1768",,"03.03.2016
ID: 6290",,"ŠUVAR, Stipe",,"Škola i tvornica : u susret reformi odgoja i obraz Zagreb : Školska knjiga, 1977",,,,,Vlastita kupnja,,3.98,,,DA,,37 ŠUV Š,,,
"G2891
1769",,"03.03.2016
ID: 6291",,"UDOVIČIĆ, Božo",,"Elektroenergetika / Božo Udovičić. - Zagreb : Školska knjiga, 1983",,,,,Vlastita kupnja,,3.98,,,DA,,620 UDO E,,,
"G2892
1770",,"03.03.2016
ID: 6292",,"URBANY, Marijan",,"Business Letters in English / by Marijan Urbany. - Zagreb : Školska knjiga, 1995",,,,,Vlastita kupnja,,3.98,,,DA,,811.111 URB BU-12.izd.,,,
"G2893
1771",,"03.03.2016
ID: 6293",,"STEFANINI, Božidar",,"Matrične metode u analizi električnih mreža / Boži Zagreb : Školska knjiga, 1975",,,,,Vlastita kupnja,,3.98,,,DA,,621.3 STE M,,,
"G2894
1772",,"03.03.2016
ID: 6294",,"TUDOR, Goran",,"Menadžerska učinkovitost 360[stupnjeva] : menadžer Zagreb : M.E.P., 2008",,,,,Vlastita kupnja,,15.93,,,DA,,65 TUD ME.U,,,
"G2895
1773",,"03.03.2016
ID: 6295",,"HEGEL, Georg Wilhelm Friedrich",,"Fenomenologija duha / Georg Wilhelm Friedrich Hege Zagreb : Naprijed, 1987",,,,,Dar,,6.64,,,DA,,13 HEGEL fen,,,
"G2896
1774",,"04.03.2016
ID: 5127",,"ZRINJAN, Snježana",,"Književnost 1 : čitanka za 1. razred četverogodišn Zagreb : Alfa, 2007",,,,,Vlastita kupnja,,6.64,,,DA,,372.882 ZRI k,,,
"G2897
1775",,"04.03.2016
ID: 6297",,"ZRINJAN, Snježana",,"Književnost 2 : čitanka za 2. razred četverogodišn Zagreb : Alfa, 2003",,,,,Dar,,6.64,,,DA,,82(091) ZRI K2,,,
"G2898
1776",,"04.03.2016
ID: 6298",,"ZRINJAN, Snježana",,"Književnost 4 : čitanka za 4. razred četverogodišn Zagreb : Alfa, 2005",,,,,Dar,,6.64,,,DA,,82(091) ZRI K4-2.izd.,,,
"G2899
1777",,"04.03.2016
ID: 5175",,"ČUBRIĆ, Marina",,"Hrvatski jezik 1 : radna bilježnica uz udžbenik za Zagreb : Školska knjiga, 2007",,,,,Dar,,3.98,,,DA,,371.3:81/82 ČUBRI hrv,,,
"G2900
1778",,"04.03.2016
ID: 6304",,"Soars, Liz",,"New Headway English course [intermediate workbook Oxford : Oxford University Press, 2012",,,,,Dar,,13.27,,,DA,,372.881.111.1(075.3) SOA n,,Otpisano 04.12.2023.,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G2901
1779",,"04.03.2016
ID: 6303",,"Soars, John",,"New Headway English course [elementary workbook wi
Oxford : Oxford University Press, 2012",,,,,Dar,,13.27,,,DA,,372.881.111.1(075.3) SOA n,,Otpisano 04.12.2023.,
"2902
1780",,"04.03.2016
ID: 6302",,"Soars, John",,"New Headway English course [pre-intermediate workb Oxford : Oxford University Press, 2014",,,,,Dar,,13.27,,,DA,,372.881.111.1(075.3) SOA n,,Otpisano 04.12.2023.,
"G2903
1781",,"04.03.2016
ID: 6301",,"Soars, Liz",,"New Headway English course [pre-intermediate teach Oxford : Oxford University Press, 2014",,,,,Dar,,22.56,,,DA,,372.881.111.1(075.3) SOA n,,,
"G2904
1782",,"16.03.2016
ID: 6325",,"KRIŠKOVIĆ, Vinko",,"Izabrani politički eseji / Vinko Krišković ; prire Zagreb : Matica hrvatska, 2003",,,,,Dar,,6.64,,,DA,,32 KRI I,,,
"G2905
1783",,"16.03.2016
ID: 6327",,"STROSSMAYER, Josip Juraj",,"Izabrani književni i politički spisi II / priredio Zagreb : Matica Hrvatska, 2006",,,,,Dar,,6.64,,,DA,,Z 949.71 STRO I,,,
"G2906
1784",,"16.03.2016
ID: 6326",,IZABRANA djela,,"Izabrana djela / [autori] Pasko Antun Kazali, Mato Zagreb : Matica hrvatska, 2005",,,,,Dar,,6.64,,,DA,,886.2 IZA,,,
"G2907
1785",,"15.03.2016
ID: 5571",,"SANKOVIĆ, Danko",,"Zaštita od svekolikih opasnosti : (organiziranje, Zagreb : Mardid, 1998",,,,,Vlastita kupnja,,15.93,,,DA,,61 SANKO zaš,,,
"G2908
1786",,"15.03.2016
ID: 5571",,"SANKOVIĆ, Danko",,"Zaštita od svekolikih opasnosti : (organiziranje, Zagreb : Mardid, 1998",,,,,Vlastita kupnja,,15.93,,,DA,,61 SANKO zaš,,,
"G2909
1787",,"15.03.2016
ID: 5571",,"SANKOVIĆ, Danko",,"Zaštita od svekolikih opasnosti : (organiziranje, Zagreb : Mardid, 1998",,,,,Vlastita kupnja,,15.93,,,DA,,61 SANKO zaš,,,
"G2910
1788",,"15.03.2016
ID: 6324",,"TUĐMAN, Miroslav",,"Uvod u informacijsku znanost / Miroslav Tuđman, Da Zagreb : Školska knjiga, 1992",,,,,Vlastita kupnja,,10.62,,,DA,,007 TUĐ U,,,
"G2911
1789",,"16.03.2016
ID: 6329",,VODNJAN. Statut,,"Vodnjanski ststut = Statuto di Dignano / [priredil Vodnjan : Grad ; Pazin : Državni arhiv u Pazinu, 2010",,,,,Dar,,63.71,,,DA,,35 VODNJ,,,
"G2912
1790",,"16.03.2016
ID: 6330",,"MARIĆ, Branka",,"Knjigovodstvo s bilanciranjem 2 : vježbenica za dr Vinkovci : Pentium, 2004",,,,,Dar,,15.93,,,DA,,657 SAF VJ-2,,,
"G2913
1791",,"16.03.2016
ID: 6331",,"SAFRET, Maja",,"Knjigovodstvo s bilanciranjem 2 : udžbenik za 2. r Zagreb : Školska knjiga, 2004",,,,,Dar,,6.64,,,DA,,657 SAFRE knji-2,,,
"G2914
1792",,"16.03.2016
ID: 6332",,"SAFRET, Maja",,"Knjigovodstvo s bilanciranjem 1 : udžbenik za prvi Zagreb : Školska knjiga, 2007",,,,,Dar,,6.64,,,DA,,657 SAFRE knji-1,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G2915
1793",,"16.03.2016
ID: 6335",,"ŽAGER, Katarina",,"Računovodstvo za neračunovođe : osnove računovodst
Zagreb : Hrvatska zajednica računovođa i djelatnika, 2004",,,,,Dar,,6.64,,,DA,,657 ŽAGER rač,,,
"G2916
1794",,"16.03.2016
ID: 6336",,"ŠOŠIĆ, Ivan",,"Statistika : udžbenik za srednje škole sa zbirkom Zagreb : Školska knjiga, 2006",,,,,Dar,,10.62,,,DA,,51 ŠOŠ S 2.izd.,,,
"G2917
1795",,"16.03.2016
ID: 6338",,"SUNAJKO, Goran",,"Politika i gospodarstvo : udžbenik za srednje stru Zagreb : SysPrint, 2010",,,,,Vlastita kupnja,,10.62,,,DA,,32 SUN P,,,
"G2918
1796",,"16.03.2016
ID: 6339",,"MAROŠEVIĆ, Ivan",,"Ugostiteljsko posluživanje 1 : udžbenik za prve ra Pula : HoReBa, 2005",,,,,Dar,,6.64,,,DA,,338 MAROŠ org,,,
"G2919
1797",,"16.03.2016
ID: 6347",,"KLIMENT, Antun",,"Poslovne komunikacije / Antun Kliment.- Olivera Ju Zagreb : Školska knjiga, 2006",,,,,Dar,,6.64,,,DA,,651 KLI P,,,
"G2920
1798",,"16.03.2016
ID: 6348",,"SAPANJOŠ, Tamara",,Radna bilježnica za praktičnu nastavu 1-3 / Tamara Zagreb : Alka script: 2014,,,,,Dar,,15.93,,,DA,,658 SAP R,,,
"G2921
1799",,"16.03.2016
ID: 6348",,"SAPANJOŠ, Tamara",,Radna bilježnica za praktičnu nastavu 1-3 / Tamara Zagreb : Alka script: 2014,,,,,Dar,,15.93,,,DA,,658 SAP R,,,
"G2922
1800",,"16.03.2016
ID: 6348",,"SAPANJOŠ, Tamara",,Radna bilježnica za praktičnu nastavu 1-3 / Tamara Zagreb : Alka script: 2014,,,,,Dar,,15.93,,,DA,,658 SAP R,,,
"G2923
1801",,"17.03.2016
ID: 6350",,"KOSTELIĆ, Aurel",,"Nauka o toplini : sa zadacima / Aurel Kostelić. - Zagreb : Školska knjiga, 1992",,,,,Dar,,6.64,,,DA,,53 KOS N,,,
"G2924
1802",,"17.03.2016
ID: 6357",,"ČEVRA, Antun",,"Motori i vozila : udžbenik za škole za kvalificira Zagreb : Školska knjiga, 1970",,,,,Dar,,5.31,,,DA,,621 ČEVRA mot,,,
"G2925
1803",,"17.03.2016
ID: 6358",,"ČEVRA, Antun",,"Motori i vozila : udžbenik za srednje škole / Antu Zagreb : Školska knjiga, 1973",,,,,Dar,,5.31,,,DA,,621 ČEVRA mot,,,
"G2926
1804",,"17.03.2016
ID: 6359",,"ČEVRA, Antun",,"Motori i vozila : udžbenik za srednje škole / Antu Zagreb : Školska knjiga, 1977",,,,,Dar,,5.31,,,DA,,621.3 ČEV M -2,,,
"G2927
1805",,"17.03.2016
ID: 6360",,"HRGOVIĆ, Dušan",,"Tehnički materijali 2 : za srednje strojarske škol Zagreb : Školska knjiga, 1996",,,,,Dar,,5.31,,,DA,,66 HRG T2 6.izd.,,,
"G2928
1806",,"17.03.2016
ID: 6363",,"PANDŽIĆ, Jerko",,"Tehničko crtanje,m radna bilježnica za 1. i 2. raz Zagreb : Neodidacta, 2007",,,,,Dar,,6.64,,,DA,,74 PAN T,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G2929
1807",,"29.03.2016
ID: 6373",,TEHNIKA motornih vozila,,"Tehnika motornih vozila / preveo Goran Popović ; [ Zagreb : Hrvatska obrtnička komora : Pučko otvoreno učilište, 2013",,,,,Dar,,63.71,,,DA,,629 TEH-30.izd.,,,
"G2930
1808",,"29.03.2016
ID: 6374",,"SRDELIĆ, Marinko",,"Fizika 3 : udžbenik fizike za treći razred strukov Zagreb : Profil, 2009",,,,,Dar,,3.98,,,DA,,53 SRD F-3,,,
"G2931
1809",,"30.03.2016
ID: 6377",,"POŽAR, Hrvoje",,"Visokonaponska rasklopna postrojenja / Hrvoje Poža Zagreb : Tehnička knjiga, 1990",,,,,Dar,,13.27,,,DA,,621.313 POŽAR vis,,,
"G2932
1810",,"30.03.2016
ID: 6378",,"BOŽIČEVIĆ, Juraj",,"Temelji automatike / Juraj Božičević. - Zagreb : Školska knjiga, 1980",,,,,Dar,,6.64,,,DA,,681 BOŽ T 1-2,,,
"G2933
1811",,"30.03.2016
ID: 6379",,"BOŽIČEVIĆ, Juraj",,"Temelji automatike / Juraj Božičević. - Zagreb : Školska knjiga, 1980",,,,,Dar,,6.64,,,DA,,681 BOŽ T 1-2,,,
"G2934
1812",,"30.03.2016
ID: 6380",,"BEGO, Vojislav",,"Mjerenja u elektrotehnici / Vojislav Bego. - Zagreb : Tehnička knjiga, 1971",,,,,Dar,,6.64,,,DA,,621.3 BEG M,,,
"G2935
1813",,"30.03.2016
ID: 6381",,"MARINKOVIĆ, Ranko",,"Ruke / Ranko Marinković. - Zagreb : Mladost, 1972",,,,,Vlastita kupnja,,6.64,,,DA,,O MARIN ruk,,,
"G2936
1814",,"30.03.2016
ID: 6382",,STROJARSTVO i,,"Strojarstvo i osnove strojarstva : udžbenik s DVD- Zagreb : Neodidacta, 2008",,,,,Dar,,6.64,,,DA,,621 STRO 1-,,,
"G2937
1815",,"30.03.2016
ID: 6382",,STROJARSTVO i,,"Strojarstvo i osnove strojarstva : udžbenik s DVD- Zagreb : Neodidacta, 2008",,,,,Dar,,6.64,,,DA,,621 STRO 1-,,,
"G2938
1816",,"30.03.2016
ID: 6385",,"ČAIĆ, Martina",,"Ponašanje potrošača : udžbenik za 3. razred srednj Zagreb : Mate, 2014",,,,,Dar,,10.62,,,DA,,658 ČAI P,,,
"G2939
1817",,"30.03.2016
ID: 6388",,"MARTINOVIĆ, Maja",,"Osnove marketinga : udžbenik za 2. razred srednje Zagreb : Mate, 2014",,,,,Dar,,10.62,,,DA,,339 MART O,,,
"G2940
1818",,"31.03.2016
ID: 6411",,"MILOBAR, Božo",,"Spojevi s integriranim sklopovima / Božo Milobar, Zagreb : Tehnička knjiga, 1985",,,,,Dar,,3.98,,,DA,,621.313 MILOB spo,,,
"G2941
1819",,"05.04.2016
ID: 6412",,"PARADŽIK, Jelica",,"Poduzetničko računovodstvo / Jelica Paradžik-Lazar Zagreb : Mate, 2013",,,,,Dar,,10.62,,,DA,,657 PAR POD,,,
"G2942
1820",,"05.04.2016
ID: 6413",,"PARADŽIK, Jelica",,"Poduzetničko računovodstvo, radna bilježnivca za 4 Zagreb : Mate, 2013",,,,,Dar,,10.62,,,DA,,657 PAR P,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G2943
1821",,"05.04.2016
ID: 6414",,"ŠIMIĆ, Ana -Kolarević",,"Računovodstvo proizvodnje i trgovine, udžbenik za Zagreb : Mate, 2013",,,,,Dar,,10.62,,,DA,,657 ŠIM R,,,
"G2944
1822",,"05.04.2016
ID: 6415",,"ŠIMIĆ KOLAREVIĆ, Ana",,"Računovodstvo proizvodnje i trgovine, radna biljež Zagreb : Mate, 2013",,,,,Dar,,10.62,,,DA,,657 ŠIM R,,,
"G2945
1823",,"05.04.2016
ID: 6416",,"JALŠENJAK, Borna",,"Uvod u filozofiju i kritičko mišljenje/ Borna Jalš Zagreb : Mate, 2015",,,,,Dar,,21.10,,,DA,,1 JAL U,,,
"G2946
1824",,"05.04.2016
ID: 6418",,"ČOKONAJ, Emil",,"Geografija 2 : udžbenik za drugi razred srednjih s Zagreb : Meridijani, 2008",,,,,Dar,,6.64,,,DA,,91 ČOK g,,,
"G2947
1825",,"05.04.2016
ID: 6419",,"ZRINJAN, Snježana",,"Hrvatski jezik 1 : udžbenik za 1. razred četverogo Zagreb : Alfa, 2009",,,,,Dar,,6.64,,,DA,,811.163.42 ZRI H-1,,,
"G2948
1826",,"05.04.2016
ID: 6427",,"LIEBL, Dubravka",,"Osnove marketinga / Dubravka Liebl, Sanja Rocco. - Zagreb : Školska knjiga, 2013",,,,,Dar,,6.64,,,DA,,658.8 LIE O,,,
"G2949
1827",,"07.04.2016
ID: 6429",,"ROGINIĆ, Tatjana",,"U svemu je fizika I : udžbenik za I. razred struko Zagreb : Školska knjiga, 2010",,,,,Dar,,6.64,,,DA,,53 ROGIN fiz,,,
"G2950
1828",,"07.04.2016
ID: 6430",,"ROGINIĆ, Tatjana",,"Fizika I : udžbenik za dvogodišnji i trogodišnji p Zagreb : Školska knjiga, 2007",,,,,Dar,,6.64,,,DA,,53 ROGIN fiz,,,
"G2951
1829",,"07.04.2016
ID: 6431",,"ROGINIĆ, Tatjana",,"U svemu je fizika II : udžbenik za 2. razred struk Zagreb : Školska knjiga, 2010",,,,,Dar,,6.64,,,DA,,53 ROGIN fiz,,,
"G2952
1830",,"07.04.2016
ID: 6432",,"ROGINIĆ, Tatjana",,"U svemu je fizika II : radna bilježnica za 2. razr Zagreb : Školska knjiga, 2010",,,,,Dar,,6.64,,,DA,,53 ROGIN fiz,,,
"G2953
1831",,"07.04.2016
ID: 6433",,"IZAZOVI, u radu s učenicima s poteškoćama",,"Izazovi u radu s učenicima s poteškoćama / priručn Zagreb: Centar za odgoj i obrazovanje ""Slava Raškaj"", 2011.-",,,,,Dar,,15.93,,,DA,,02 IZAZ,,,
"G2954
1832",,"07.04.2016
ID: 6433",,"IZAZOVI, u radu s učenicima s poteškoćama",,"Izazovi u radu s učenicima s poteškoćama / priručn Zagreb: Centar za odgoj i obrazovanje ""Slava Raškaj"", 2011.-",,,,,Dar,,15.93,,,DA,,02 IZAZ,,,
"G2955
1833",,"07.04.2016
ID: 6434",,"LEGRAND, Louis",,"Obrazovne politike / Louis Legrand. - Zagreb :Educa, 1990",,,,,Dar,,7.96,,,DA,,37 LEG o,,,
"G2956
1834",,"07.04.2016
ID: 6435",,"VODIČ, ustanovama za obrazovanje odraslih",,"Vodič ustanovama za obraovanje odraslih / Ivan Šut Zagreb : Agencija za strukovno obrazovanje i obrazovanje odraslih, 2012",,,,,Dar,,6.64,,,DA,,374 VOD,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G2957
1835",,"07.04.2016
ID: 6438",,"Salamon Padjen, Đurđica",,"Matematika u struci 1 [udžbenik sa zbirkom zadatak Zagreb : Alka script, 2008",,,,,Dar,,6.64,,,DA,,372.851(075.3) SAL m,,,
"G2958
1836",,"08.04.2016
ID: 6438",,"Salamon Padjen, Đurđica",,"Matematika u struci 1 [udžbenik sa zbirkom zadatak Zagreb : Alka script, 2008",,,,,Dar,,6.64,,,DA,,372.851(075.3) SAL m,,,
"G2959
1837",,"08.04.2016
ID: 6441",,"KNEŽEVIĆ, Blaženka",,"Računalstvo : udžbenik za 1. razred trogodišnjih s Zagreb : Alka Script, 2009",,,,,Dar,,6.64,,,DA,,004 KNE R,,,
"G2960
1838",,"08.04.2016
ID: 6442",,OSNOVE ekonomije,,"Osnove ekonomije 1 : udžbenik za 1. razred ekonoms Zagreb : Mate, 2014",,,,,Dar,,10.62,,,DA,,330 OSNO-1,,,
"G2961
1839",,"08.04.2016
ID: 6443",,"Salamon Padjen, Đurđica",,"Matematika u struci 3 [udžbenik sa zbirkom zadatak Zagreb : Alka script, 2008. (Zagreb : Orbis)",,,,,Dar,,6.64,,,DA,,372.851(075.3) SAL m,,,
"G2962
1840",,"08.04.2016
ID: 6444",,"Salamon Padjen, Đurđica",,"Matematika u struci 3 [udžbenik sa zbirkom zadatak Zagreb : Alka script, 2008. (Zagreb : Orbis)",,,,,Dar,,6.64,,,DA,,372.851(075.3) SAL m,,,
"G2963
1841",,"08.04.2016
ID: 6445",,"POGLED, na kvalitetu obrazovanja iznutra",,"Pogled na kvalitetu obrazovanja iznutra; samovredn Zagreb : Nacionalni centar za vanjsko vrednovanje obrazovanja, 2014",,,,,Dar,,13.27,,,DA,,373 POG,,,
"G2964
1842",,"08.04.2016
ID: 6446",,"BRAŠ ROTH, Michelle",,"TALIS 2013 Glas učitelja i ravnatelja za bolje ish Zagreb : Nacionalni centar za vanjsko vrednovanje obrazovanja, 2014",,,,,Dar,,13.27,,,DA,,371 BRA T,,,
"G2965
1843",,"12.04.2016
ID: 6447",,MICROSOFT SQL,,"Microsoft Official Course 1846-a Microsoft Solutio Washington : Microsoft Press, 2002",,,,,Dar,,22.43,,,DA,,004.6=20 MIC,,,
"G2966
1844",,"12.04.2016
ID: 6448",,"KULIŠIĆ, Petar",,"Zadaci iz fizike za srednje škole : Petar Kulišić, Zagreb : Školska knjiga, 1980",,,,,Dar,,3.98,,,DA,,53 KUL z,,,
"G2967
1845",,"12.04.2016
ID: 6449",,VODIČ za poduzetnike,,"Vodič za poduzetnike / urednik Vladimir Žanić ; il Zagreb : Ministarstvo gospodarstva Republike Hrvatske, 1999",,,,,Vlastita kupnja,,10.62,,,DA,,65 VODIČ,,,
"G2968
1846",,"12.04.2016
ID: 6450",,LANTERNA: zbornik literarnih radova,,"Lanterna, zbornik literarnih radova autora Bujštin Buje : Matica hrvatska, 2011",,,,,Dar,,10.62,,,DA,,821.163.42-1 LAN,,,
"G2969
1847",,"30.08.1998
ID: 4640",,"KROATISCHE Speisen, modern",,"Kroatische Speisen [modern Zubereitet] / [Auswahl Zagreb : Golden marketing, 1995. ([s. l. : s. n.])",,,,,Vlastita kupnja,,13.27,,,DA,,641.568(497.5)(083.12) KRO k,,,
"G2970
1848",,"12.04.2016
ID: 6453",,"BILUŠ, Ivanka",,"Suses aus Kroatien / Ivanka Biluš, Ivanka Božić, C Zagreb : Alfa, 1997",,,,,Dar,,13.27,,,DA,,64 BILUŠ sus,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G2971
1849",,"13.04.2016
ID: 6470",,"BULJEVIĆ, Sonja",,"Dodirnuta nebom / Sonja Buljević. - Buje : Matica hrvatska, 2010",,,,,Dar,,9.29,,,DA,,886.2 BULJ PO,,,
"G2972
1850",,"13.04.2016
ID: 6470",,"BULJEVIĆ, Sonja",,"Dodirnuta nebom / Sonja Buljević. - Buje : Matica hrvatska, 2010",,,,,Dar,,9.29,,,DA,,886.2 BULJ PO,,,
"G2973
1851",,"13.04.2016
ID: 6471",,"JURČIĆ, Mirjana",,"Practise and learn, vježbe iz gramatike engleskog 239Zagreb : Školska knjiga, 1980",,,,,Dar,,3.98,,,DA,,811.112.2 JUR V,,,
"G2974
1852",,"13.04.2016
ID: 6472",,"RADETIĆ-Paić, Mirjana",,"Prilagodbe u radu s djecom s teškoćama u razvoju u Pula : Sveučilište Jurja Dobrile, 2013",,,,,Dar,,10.62,,,DA,,R 376 RAD D,,,
"G2975
1853",,"05.04.2016
ID: 6421",,"ZRINJAN, Snježana",,"Hrvatski jezik 2 : udžbenik za 2. razred četverogo Zagreb : Alfa, 2009",,,,,Dar,,6.64,,,DA,,811.163.42 ZRI H-2,,,
"G2976
1854",,"05.04.2016
ID: 6425",,"ZRINJAN, Snježana",,"Hrvatski jezik 4 : udžbenik za 4. razred četverogo Zagreb : Alfa, 2009",,,,,Dar,,3.98,,,DA,,811.163.42 ZRI H-4,,,
"G2977
1855",,"05.04.2016
ID: 6420",,"ZRINJAN, Snježana",,"Hrvatski jezik 1 : radna bilježnica za 1. razred č Zagreb : Alfa, 2009",,,,,Dar,,3.98,,,DA,,811.163.42 ZRI H-1,,,
"G2978
1856",,"05.04.2016
ID: 6422",,"ZRINJAN, Snježana",,"Hrvatski jezik 2 : radna bilježnica za 2. razred č Zagreb : Alfa, 2009",,,,,Dar,,3.98,,,DA,,811.163.42 ZRI H-2,,,
"G2979
1857",,"05.04.2016
ID: 6424",,"ZRINJAN, Snježana",,"Hrvatski jezik 3 : radna bilježnica za 3. razred č Zagreb : Alfa, 2009",,,,,Dar,,3.98,,,DA,,811.163.42 ZRI H-3,,,
"G2980
1858",,"05.04.2016
ID: 6426",,"ZRINJAN, Snježana",,"Hrvatski jezik 14 : radna bilježnica za 4. razred Zagreb : Alfa, 2009",,,,,Dar,,3.98,,,DA,,811.163.42 ZRI H-4,,,
