,BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA
"G175
93",,"10.10.1998
ID: 3096",,"BREŠAN, Ivo",,"Predstava Hamleta u selu Mrduša Donja [groteskna t Zagreb : ABC naklada, 1995. (Zagreb : Grafički zavod Hrvatske)",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-2 BRE p,,,
"G176
94",,"10.10.1996
ID: 3198",,"ŠENOA, August",,"Zlatarovo zlato / August Šenoa. - Zagreb : Zagrebačka stvarnost, 1995",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 ŠEN ZL,,,
"G178
95",,"27.04.2016
ID: 6498",,"ROSANDIĆ, Dragutin",,"Hrvatski jezik u srednjoškolskoj nastavi / Draguti Zagreb : Školske novine, 1996",,,,,Vlastita kupnja,,23.89,,,DA,,371 ROS H 1-,,,
"G180
96",,"07.04.1997
ID: 4418",,"MARGARITONI, Marko st.",,"Samozaštita od raka dojke : priručnik za svaku žen Zagreb : Hrvatska liga protiv raka [etc.], 1996",,,,,Vlastita kupnja,,3.98,,,DA,,616 MARG S,,,
"G181
97",,"10.10.1997
ID: 3390",,"AJDUKOVIĆ, Dean",,"Aids i mladi : psihosocijalne dimenzije / Dean Ajd Zagreb : Medicinska naklada, 1991",,,,,Vlastita kupnja,,7.96,,,DA,,613 AJD A,,,
"GT182
98",,"10.10.1996
ID: 3247",,"GOETHE, Johann Wolfgang",,"Patnje mladoga Werthera / Johann Wolfgang Goethe ; Zagreb : Školska knjiga, 1993",,,,,Vlastita kupnja,,3.98,,,DA,,830 GOET P,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G184
99",,"10.10.2000
ID: 3535",,"BUBANJ, Blaženka",,"La francais pour l'hotellerie et le tourisme : udž Zagreb : Školska knjiga, 1984",,,,,Vlastita kupnja,,5.31,,,DA,,804 BUB F,,Otpisano 23.12.2019.,
"G188
100",,"10.10.1996
ID: 3271",,"IBSEN, Henrik",,"Nora : (kuća lutaka) / Henrik Ibsen ; preveo s nor Zagreb : Školska knjiga, 1996",,,,,Vlastita kupnja,,5.31,,,DA,,839.6 IBS NO,,,
"G190
101",,"10.10.1997
ID: 3148",,"KAČIĆ-Miošić, Andrija",,"Razgovor ugodni naroda slovinskoga / Andrija Kačić Zagreb : Katarina Zrinska, 1996",,,,,Vlastita kupnja,,5.31,,,DA,,886.2 KAČ R,,,
